Timepoint,usLatencyMin,usLatencyMax,usLatencyAvg,usJitter,usDelayFactor,pktReceived,pktLost,pktReordered,pktReorderDist
2022-04-14T17:46:13.441614+0200,369886,370835,370298,182,663,283,0,0,0
2022-04-14T17:46:14.443772+0200,369863,370519,370244,196,644,759,0,0,0
2022-04-14T17:46:15.445776+0200,369820,371114,370163,227,1293,1235,0,0,0
2022-04-14T17:46:16.447640+0200,369759,370464,370179,170,699,1711,0,0,0
2022-04-14T17:46:17.449400+0200,369753,370443,370070,184,704,2187,0,0,0
2022-04-14T17:46:18.451638+0200,369720,370372,370086,157,656,2663,0,0,0
2022-04-14T17:46:19.453408+0200,369675,370391,370048,187,734,3139,0,0,0
2022-04-14T17:46:20.455480+0200,369650,370335,370040,156,709,3615,0,0,0
2022-04-14T17:46:21.457515+0200,369597,370254,370000,140,668,4091,0,0,0
2022-04-14T17:46:22.459346+0200,369564,370250,369964,131,685,4567,0,0,0
2022-04-14T17:46:23.461462+0200,369513,370175,369937,212,665,5043,0,0,0
2022-04-14T17:46:24.462450+0200,368639,370156,369008,244,1498,5519,0,0,0
2022-04-14T17:46:25.464547+0200,368609,369271,368995,206,641,5995,0,0,0
2022-04-14T17:46:26.466399+0200,368553,369222,368966,243,654,6471,0,0,0
2022-04-14T17:46:27.468357+0200,368509,369213,368875,235,720,6947,0,0,0
2022-04-14T17:46:28.470298+0200,368465,369184,368866,251,726,7423,0,0,0
2022-04-14T17:46:29.472280+0200,368444,369096,368799,241,666,7899,0,0,0
2022-04-14T17:46:30.474286+0200,368398,369075,368663,238,675,8375,0,0,0
2022-04-14T17:46:31.475723+0200,368346,369032,368716,223,684,8851,0,0,0
2022-04-14T17:46:32.475708+0200,368325,368998,368721,161,669,9326,0,0,0
2022-04-14T17:46:33.477603+0200,368264,368986,368644,165,706,9802,0,0,0
2022-04-14T17:46:34.477847+0200,368263,368911,368560,219,636,10277,0,0,0
2022-04-14T17:46:35.479486+0200,368210,368898,368527,210,667,10753,0,0,0
2022-04-14T17:46:36.480199+0200,368187,369380,369038,200,1203,11228,0,0,0
2022-04-14T17:46:37.482114+0200,368668,369329,369057,203,661,11704,0,0,0
2022-04-14T17:46:38.483744+0200,368601,369344,368900,227,722,12180,0,0,0
2022-04-14T17:46:39.484025+0200,368580,369263,368972,162,686,12655,0,0,0
2022-04-14T17:46:40.485963+0200,368542,369227,368996,141,666,13131,0,0,0
2022-04-14T17:46:41.487907+0200,368521,369235,368887,229,726,13607,0,0,0
2022-04-14T17:46:42.489746+0200,368478,369154,368844,236,672,14083,0,0,0
2022-04-14T17:46:43.491509+0200,368450,369153,368783,196,690,14559,0,0,0
2022-04-14T17:46:44.491605+0200,368399,369073,368725,234,666,15034,0,0,0
2022-04-14T17:46:45.491572+0200,368352,369038,368665,198,662,15509,0,0,0
2022-04-14T17:46:46.493527+0200,368330,368997,368713,172,659,15985,0,0,0
2022-04-14T17:46:47.493813+0200,368295,369319,369013,175,1029,16460,0,0,0
2022-04-14T17:46:48.495708+0200,368684,369343,369117,145,666,16936,0,0,0
2022-04-14T17:46:49.495745+0200,368641,369298,368978,283,669,17411,0,0,0
2022-04-14T17:46:50.497115+0200,368612,369274,368981,218,657,17887,0,0,0
2022-04-14T17:46:51.497309+0200,368565,369234,368971,202,654,18362,0,0,0
2022-04-14T17:46:52.497440+0200,368538,369194,368938,190,660,18837,0,0,0
2022-04-14T17:46:53.499267+0200,368484,369165,368877,224,686,19313,0,0,0
2022-04-14T17:46:54.501003+0200,368463,369132,368792,150,670,19789,0,0,0
2022-04-14T17:46:55.503235+0200,368424,369084,368775,181,644,20265,0,0,0
2022-04-14T17:46:56.505025+0200,368377,369055,368748,232,656,20741,0,0,0
2022-04-14T17:46:57.505054+0200,368345,369047,368758,174,687,21216,0,0,0
2022-04-14T17:46:58.506549+0200,368316,368977,368702,136,664,21692,0,0,0
2022-04-14T17:46:59.507208+0200,368298,369356,369061,239,1081,22167,0,0,0
2022-04-14T17:47:00.507186+0200,368645,369308,369057,265,655,22642,0,0,0
2022-04-14T17:47:01.508601+0200,368612,369277,368992,198,674,23118,0,0,0
2022-04-14T17:47:02.508885+0200,368565,369325,368949,174,763,23593,0,0,0
2022-04-14T17:47:03.510465+0200,368547,369217,368918,167,664,24069,0,0,0
2022-04-14T17:47:04.510710+0200,368496,369167,368831,247,669,24544,0,0,0
2022-04-14T17:47:05.512712+0200,368449,369152,368796,219,701,25020,0,0,0
2022-04-14T17:47:06.514681+0200,368425,369090,368768,221,659,25496,0,0,0
2022-04-14T17:47:07.516168+0200,368387,369060,368752,130,665,25972,0,0,0
2022-04-14T17:47:08.516447+0200,368328,369110,368695,176,752,26447,0,0,0
2022-04-14T17:47:09.518096+0200,368312,369021,368632,189,720,26923,0,0,0
2022-04-14T17:47:10.518800+0200,368279,369337,369126,187,1086,27398,0,0,0
2022-04-14T17:47:11.520689+0200,368665,369333,369082,141,666,27874,0,0,0
2022-04-14T17:47:12.522187+0200,368642,369293,368945,264,654,28350,0,0,0
2022-04-14T17:47:13.524708+0200,368591,369259,369007,196,656,28826,0,0,0
2022-04-14T17:47:14.526570+0200,368582,369217,368949,195,640,29302,0,0,0
2022-04-14T17:47:15.528662+0200,368511,369190,368879,244,665,29778,0,0,0
2022-04-14T17:47:16.530530+0200,368469,369144,368884,209,689,30254,0,0,0
